Datetime,ssrdc,ssrd,t2m,u10,v10
2023-01-04 18:00:00,67.64,47.84028,293.46948,-1.0142365,0.13848114
2023-01-04 18:15:00,50.73,35.899513,293.18066,-1.1416194,0.23720312
2023-01-04 18:30:00,33.82,23.95875,292.89185,-1.2690024,0.3359251
2023-01-04 18:45:00,16.91,12.017986,292.60303,-1.3963854,0.43464708
2023-01-04 19:00:00,0.0,0.07722222,292.3142,-1.5237684,0.53336906
2023-01-04 19:15:00,,,292.30414,-1.4367433,0.3822806
2023-01-04 19:30:00,,,292.29407,-1.3497181,0.23119211
2023-01-04 19:45:00,,,292.284,-1.2626929,0.080103636
2023-01-04 20:00:00,,,292.27393,-1.1756678,-0.07098484
2023-01-04 20:15:00,,,292.02234,-0.8592291,-0.15589166
2023-01-04 20:30:00,,,291.77075,-0.5427904,-0.24079847
2023-01-04 20:45:00,,,291.51917,-0.22635174,-0.3257053
2023-01-04 21:00:00,,,291.26758,0.09008694,-0.4106121
2023-01-04 21:15:00,,,290.89813,0.10302353,-0.37222695
2023-01-04 21:30:00,,,290.5287,0.11596012,-0.3338418
2023-01-04 21:45:00,,,290.15924,0.12889671,-0.29545665
2023-01-04 22:00:00,,,289.7898,0.1418333,-0.2570715
2023-01-04 22:15:00,,,289.64404,0.19789124,-0.27185774
2023-01-04 22:30:00,,,289.4983,0.25394917,-0.28664398
2023-01-04 22:45:00,,,289.35254,0.3100071,-0.30143023
2023-01-04 23:00:00,,,289.2068,0.36606503,-0.31621647
2023-01-04 23:15:00,,,289.09998,0.37661362,-0.31931663
2023-01-04 23:30:00,,,288.99316,0.3871622,-0.32241678
2023-01-04 23:45:00,,,288.88635,0.3977108,-0.32551694
2023-01-05 00:00:00,,,288.77954,0.4082594,-0.3286171
2023-01-05 00:15:00,,,288.70068,0.41131568,-0.34423637
2023-01-05 00:30:00,,,288.62183,0.41437197,-0.35985565
2023-01-05 00:45:00,,,288.54297,0.41742826,-0.37547493
2023-01-05 01:00:00,,,288.4641,0.42048454,-0.3910942
2023-01-05 01:15:00,,,288.34106,0.4543016,-0.4154222
2023-01-05 01:30:00,,,288.21802,0.48811865,-0.4397502
2023-01-05 01:45:00,,,288.09497,0.5219357,-0.4640782
2023-01-05 02:00:00,,,287.97192,0.55575275,-0.48840618
2023-01-05 02:15:00,,,287.83014,0.5715027,-0.50415206
2023-01-05 02:30:00,,,287.68835,0.5872526,-0.51989794
2023-01-05 02:45:00,,,287.54657,0.60300255,-0.5356438
2023-01-05 03:00:00,,,287.4048,0.6187525,-0.5513897
2023-01-05 03:15:00,,,287.2934,0.6174612,-0.55794
2023-01-05 03:30:00,,,287.182,0.6161699,-0.5644903
2023-01-05 03:45:00,,,287.07062,0.61487865,-0.57104063
2023-01-05 04:00:00,,,286.95923,0.6135874,-0.57759094
2023-01-05 04:15:00,,,286.89227,0.5989008,-0.585058
2023-01-05 04:30:00,,,286.82532,0.5842142,-0.592525
