Datetime,ssrdc,ssrd,t2m,v10,u10
2023-01-10 20:00:00,,,299.02954,0.86220646,-2.4309683
2023-01-10 21:00:00,,,298.54004,1.0555925,-2.5037022
2023-01-10 22:00:00,,,297.97412,1.2340193,-2.5056105
2023-01-10 23:00:00,,,297.53564,1.1952381,-2.3263502
2023-01-11 00:00:00,,,297.0598,0.8509855,-2.003811
2023-01-11 01:00:00,,,296.5432,0.6328716,-1.7671947
2023-01-11 02:00:00,,,296.24487,0.58763313,-1.6167231
2023-01-11 03:00:00,,,295.9922,0.52845955,-1.243166
2023-01-11 04:00:00,,,295.27075,0.8344717,-1.3420982
2023-01-11 05:00:00,,,295.15674,0.45460987,-1.226634
2023-01-11 06:00:00,,,295.19604,-0.1615467,-1.0050173
2023-01-11 07:00:00,0.0,0.0,295.1819,-0.71767235,-0.054006577
2023-01-11 08:00:00,82.0629,68.605,296.57373,-0.75452423,0.40291595
2023-01-11 09:00:00,279.34787,223.61716,298.06226,-0.64252377,0.5371704
2023-01-11 10:00:00,480.69952,385.92896,299.2107,-0.43566227,0.30262375
2023-01-11 11:00:00,641.18,554.0536,300.2483,-0.37287426,0.18786144
2023-01-11 12:00:00,743.2695,638.6572,301.06836,-0.27086353,0.07342434
2023-01-11 13:00:00,774.8264,449.0486,301.38843,-0.20241356,0.14867401
2023-01-11 14:00:00,736.425,393.11945,301.64868,-0.26503563,0.12616062
2023-01-11 15:00:00,632.8797,476.2511,301.85498,-0.3170786,0.04040718
2023-01-11 16:00:00,472.35416,371.88806,301.89258,-0.53529453,-0.3605976
2023-01-11 17:00:00,268.35443,204.79805,301.55127,-0.54591084,-0.8923168
2023-01-11 18:00:00,69.876114,55.984165,299.8894,-0.031219482,-1.221283
2023-01-11 19:00:00,0.0,0.0,298.59912,1.3251724,-0.9881096
2023-01-11 20:00:00,,,298.46167,1.0129261,-0.94743156
2023-01-11 21:00:00,,,297.82788,0.98992825,-1.1508112
2023-01-11 22:00:00,,,297.33813,1.0358238,-1.2933121
2023-01-11 23:00:00,,,296.81055,1.2160416,-1.2980156
2023-01-12 00:00:00,,,296.2505,1.3551598,-1.2064886
2023-01-12 01:00:00,,,295.75757,1.3930883,-1.1966019
2023-01-12 02:00:00,,,295.30127,1.3798628,-1.1671362
2023-01-12 03:00:00,,,295.09546,1.4680004,-1.046587
2023-01-12 04:00:00,,,294.9912,1.5664577,-0.8961811
2023-01-12 05:00:00,,,294.9165,1.4743786,-0.94731045
2023-01-12 06:00:00,,,294.71167,1.150816,-0.957469
2023-01-12 07:00:00,0.0,0.0,293.96948,0.9370775,-0.91036034
2023-01-12 08:00:00,84.27866,74.678505,295.61597,0.37033844,-0.95281124
2023-01-12 09:00:00,287.85864,246.35385,297.3872,0.45211315,-0.8080025
2023-01-12 10:00:00,492.19577,458.74625,299.1797,1.073617,-0.39760494
2023-01-12 11:00:00,657.1989,638.1525,300.62378,1.3069935,0.27468777
2023-01-12 12:00:00,762.30695,626.975,301.28076,0.95115185,0.6375027
2023-01-12 13:00:00,797.12445,679.7828,302.08594,0.6964092,0.69872284
2023-01-12 14:00:00,758.38196,667.67084,302.6128,0.5370836,0.5294056
2023-01-12 15:00:00,651.41833,593.8675,302.8606,0.5761337,0.24466896
2023-01-12 16:00:00,486.08804,456.9125,302.8086,0.67525196,-0.032909393
2023-01-12 17:00:00,280.34833,272.93362,302.2727,0.6756573,-0.20710373
2023-01-12 18:00:00,75.293335,74.342224,300.07007,0.54896355,-0.5706978
2023-01-12 19:00:00,0.0,0.0,298.78442,0.6456518,-0.99405384
2023-01-12 20:00:00,,,298.51367,0.31826973,-1.1333447
2023-01-12 21:00:00,,,297.48584,0.3538971,-1.0741644
2023-01-12 22:00:00,,,296.35913,0.60125446,-1.2544489
2023-01-12 23:00:00,,,295.64526,0.97351456,-1.2587042
2023-01-13 00:00:00,,,295.2749,1.2465916,-0.9702177
2023-01-13 01:00:00,,,295.72583,0.9383068,-0.14714336
2023-01-13 02:00:00,,,295.42627,-0.16593647,0.11128521
2023-01-13 03:00:00,,,294.59106,-0.31945133,-0.1546259
2023-01-13 04:00:00,,,294.06592,-0.44621372,-0.4039955
2023-01-13 05:00:00,,,293.86865,-0.33337975,-0.6677675
2023-01-13 06:00:00,,,293.52612,-0.17938423,-1.0650787
2023-01-13 07:00:00,0.0,0.0,292.31006,-0.0370636,-1.1975136
2023-01-13 08:00:00,84.20545,81.707466,294.80518,0.56552887,-1.1270514
2023-01-13 09:00:00,284.5456,257.74094,298.07642,0.7871103,-0.6451874
2023-01-13 10:00:00,485.27536,466.86548,300.1892,1.5585461,-0.46649456
2023-01-13 11:00:00,644.9756,638.2575,301.46924,1.835371,0.33132267
2023-01-13 12:00:00,746.98804,614.98224,302.19434,1.5537348,0.73045635
2023-01-13 13:00:00,780.11224,671.12946,303.02075,1.3128996,1.1080818
2023-01-13 14:00:00,742.625,676.48724,303.5752,1.0372257,1.3773775
