Datetime,lcc,mcc,hcc,tcc,CI_RGB_interpolated,CSI
2023-01-03 09:00:00,0.15109253,0.057250977,0.7650757,0.8182068,,
2023-01-03 09:15:00,0.1688385,0.08959961,0.7378006,0.80142975,,
2023-01-03 09:30:00,0.18658447,0.12194824,0.7105255,0.7846527,,
2023-01-03 09:45:00,0.20433044,0.15429688,0.6832504,0.7678757,,
2023-01-03 10:00:00,0.22207642,0.18664551,0.65597534,0.75109863,,
2023-01-03 10:15:00,0.2270279,0.18452454,0.57341766,0.7012253,,
2023-01-03 10:30:00,0.23197937,0.18240356,0.49086,0.6513519,,
2023-01-03 10:45:00,0.23693085,0.1802826,0.4083023,0.6014786,,
2023-01-03 11:00:00,0.24188232,0.17816162,0.32574463,0.5516052,,
2023-01-03 11:15:00,0.24368286,0.17009735,0.28977203,0.51833344,,
2023-01-03 11:30:00,0.2454834,0.16203308,0.25379944,0.48506165,,
2023-01-03 11:45:00,0.24728394,0.15396881,0.21782684,0.45178986,,
2023-01-03 12:00:00,0.24908447,0.14590454,0.18185425,0.41851807,,
2023-01-03 12:15:00,0.22031403,0.18103027,0.13639069,0.40021515,,
2023-01-03 12:30:00,0.19154358,0.216156,0.090927124,0.38191223,,
2023-01-03 12:45:00,0.16277313,0.25128174,0.045463562,0.3636093,,
2023-01-03 13:00:00,0.13400269,0.28640747,0.0,0.3453064,,
2023-01-03 13:15:00,0.1449585,0.26983643,0.21907043,0.48802948,,
2023-01-03 13:30:00,0.1559143,0.25326538,0.43814087,0.63075256,,
2023-01-03 13:45:00,0.16687012,0.23669434,0.6572113,0.77347565,,
2023-01-03 14:00:00,0.17782593,0.22012329,0.87628174,0.91619873,,
2023-01-03 14:15:00,0.1670227,0.25067902,0.9072113,0.93714905,,
2023-01-03 14:30:00,0.15621948,0.28123474,0.93814087,0.95809937,,
2023-01-03 14:45:00,0.14541626,0.31179047,0.96907043,0.9790497,,
2023-01-03 15:00:00,0.13461304,0.3423462,1.0,1.0,,
2023-01-03 15:15:00,0.16165161,0.32534027,0.9979248,0.9979248,,
2023-01-03 15:30:00,0.18869019,0.30833435,0.9958496,0.9958496,,
2023-01-03 15:45:00,0.21572876,0.29132843,0.9937744,0.9937744,,
2023-01-03 16:00:00,0.24276733,0.2743225,0.9916992,0.9916992,,
2023-01-03 16:15:00,0.25551605,0.29306793,0.9829941,0.98696136,,
2023-01-03 16:30:00,0.26826477,0.31181335,0.97428894,0.9822235,,
2023-01-03 16:45:00,0.2810135,0.33055878,0.9655838,0.97748566,,
2023-01-03 17:00:00,0.2937622,0.3493042,0.95687866,0.9727478,,
2023-01-03 17:15:00,0.26927185,0.33779144,0.9219513,0.95760345,,
2023-01-03 17:30:00,0.2447815,0.3262787,0.8870239,0.9424591,,
2023-01-03 17:45:00,0.22029114,0.31476593,0.85209656,0.92731476,,
2023-01-03 18:00:00,0.19580078,0.30325317,0.8171692,0.9121704,,
2023-01-03 18:15:00,0.18576813,0.29257965,0.84931946,0.92731476,,
2023-01-03 18:30:00,0.17573547,0.28190613,0.8814697,0.9424591,,
2023-01-03 18:45:00,0.16570282,0.2712326,0.91362,0.95760345,,
2023-01-03 19:00:00,0.15567017,0.26055908,0.94577026,0.9727478,,
2023-01-03 19:15:00,0.15302277,0.2570343,0.95710754,0.97844696,,
2023-01-03 19:30:00,0.15037537,0.25350952,0.9684448,0.9841461,,
2023-01-03 19:45:00,0.14772797,0.24998474,0.9797821,0.9898453,,
2023-01-03 20:00:00,0.14508057,0.24645996,0.9911194,0.99554443,,
2023-01-03 20:15:00,0.14608002,0.24796295,0.99333954,0.9966583,,
2023-01-03 20:30:00,0.14707947,0.24946594,0.9955597,0.9977722,,
2023-01-03 20:45:00,0.14807892,0.25096893,0.99777985,0.9988861,,
2023-01-03 21:00:00,0.14907837,0.25247192,1.0,1.0,,
2023-01-03 21:15:00,0.13996887,0.19911194,0.9960556,0.9960556,,
2023-01-03 21:30:00,0.13085938,0.14575195,0.9921112,0.9921112,,
2023-01-03 21:45:00,0.12174988,0.09239197,0.9881668,0.9881668,,
2023-01-03 22:00:00,0.11264038,0.039031982,0.9842224,0.9842224,,
2023-01-03 22:15:00,0.122039795,0.041229248,0.9860916,0.9860916,,
2023-01-03 22:30:00,0.13143921,0.043426514,0.9879608,0.9879608,,
2023-01-03 22:45:00,0.14083862,0.04562378,0.98983,0.98983,,
2023-01-03 23:00:00,0.15023804,0.047821045,0.9916992,0.9916992,,
2023-01-03 23:15:00,0.16269684,0.035865784,0.9937744,0.9937744,,
2023-01-03 23:30:00,0.17515564,0.023910522,0.9958496,0.9958496,,
2023-01-03 23:45:00,0.18761444,0.011955261,0.9979248,0.9979248,,
2023-01-04 00:00:00,0.20007324,0.0,1.0,1.0,,
2023-01-04 00:15:00,0.19486237,0.026168823,0.9982605,0.9982605,,
2023-01-04 00:30:00,0.18965149,0.052337646,0.996521,0.996521,,
2023-01-04 00:45:00,0.18444061,0.07850647,0.9947815,0.9947815,,
2023-01-04 01:00:00,0.17922974,0.10467529,0.993042,0.993042,,
2023-01-04 01:15:00,0.18579865,0.113220215,0.9947815,0.9947815,,
2023-01-04 01:30:00,0.19236755,0.12176514,0.996521,0.996521,,
2023-01-04 01:45:00,0.19893646,0.13031006,0.9982605,0.9982605,,
2023-01-04 02:00:00,0.20550537,0.13885498,1.0,1.0,,
2023-01-04 02:15:00,0.2513733,0.14196014,1.0,1.0,,
2023-01-04 02:30:00,0.2972412,0.14506531,1.0,1.0,,inf
2023-01-04 02:45:00,0.34310913,0.14817047,1.0,1.0,,
2023-01-04 03:00:00,0.38897705,0.15127563,1.0,1.0,,
2023-01-04 03:15:00,0.38284302,0.12957,0.99658966,0.9988098,,
2023-01-04 03:30:00,0.37670898,0.10786438,0.9931793,0.9976196,,
2023-01-04 03:45:00,0.37057495,0.08615875,0.989769,0.99642944,,
2023-01-04 04:00:00,0.36444092,0.064453125,0.98635864,0.99523926,,
2023-01-04 04:15:00,0.33455658,0.08030701,0.989769,0.99642944,,
2023-01-04 04:30:00,0.30467224,0.09616089,0.9931793,0.9976196,,
2023-01-04 04:45:00,0.2747879,0.11201477,0.99658966,0.9988098,,
2023-01-04 05:00:00,0.24490356,0.12786865,1.0,1.0,,
2023-01-04 05:15:00,0.22458649,0.13939667,0.9745331,0.97667694,,
2023-01-04 05:30:00,0.20426941,0.15092468,0.94906616,0.9533539,,
2023-01-04 05:45:00,0.18395233,0.1624527,0.92359924,0.9300308,,
2023-01-04 06:00:00,0.16363525,0.17398071,0.8981323,0.90670776,0.0,
2023-01-04 06:15:00,0.15213013,0.18318939,0.89759827,0.9106674,0.0,
